date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-08-08 00:00:00+00:00,7.76,8.02,7.69,8.01,373013,7.76,8.02,7.69,8.01,373013,0.0,1.0
2023-08-09 00:00:00+00:00,7.69,8.09,7.63,7.78,270523,7.69,8.09,7.63,7.78,270523,0.0,1.0
2023-08-10 00:00:00+00:00,7.82,8.06,7.73,7.73,302963,7.82,8.06,7.73,7.73,302963,0.0,1.0
2023-08-11 00:00:00+00:00,7.76,7.92,7.73,7.86,242133,7.76,7.92,7.73,7.86,242133,0.0,1.0
2023-08-14 00:00:00+00:00,7.73,7.83,7.6,7.77,586796,7.73,7.83,7.6,7.77,586796,0.0,1.0
2023-08-15 00:00:00+00:00,7.62,7.87,7.56,7.73,256059,7.62,7.87,7.56,7.73,256059,0.0,1.0
2023-08-16 00:00:00+00:00,7.56,7.76,7.52,7.57,206910,7.56,7.76,7.52,7.57,206910,0.0,1.0
2023-08-17 00:00:00+00:00,7.64,7.67,7.45,7.53,244990,7.64,7.67,7.45,7.53,244990,0.0,1.0
2023-08-18 00:00:00+00:00,7.68,7.78,7.53,7.62,282823,7.68,7.78,7.53,7.62,282823,0.0,1.0
2023-08-21 00:00:00+00:00,7.9,8.03,7.61,7.68,323231,7.9,8.03,7.61,7.68,323231,0.0,1.0
2023-08-22 00:00:00+00:00,7.98,8.1,7.78,7.91,283514,7.98,8.1,7.78,7.91,283514,0.0,1.0
2023-08-23 00:00:00+00:00,8.02,8.12,7.8967,7.98,220802,8.02,8.12,7.8967,7.98,220802,0.0,1.0
2023-08-24 00:00:00+00:00,7.75,8.02,7.65,8.02,268578,7.75,8.02,7.65,8.02,268578,0.0,1.0
2023-08-25 00:00:00+00:00,7.7,7.77,7.51,7.74,179197,7.7,7.77,7.51,7.74,179197,0.0,1.0
2023-08-28 00:00:00+00:00,7.66,7.77,7.57,7.7,200784,7.66,7.77,7.57,7.7,200784,0.0,1.0
2023-08-29 00:00:00+00:00,7.71,7.74,7.55,7.65,247955,7.71,7.74,7.55,7.65,247955,0.0,1.0
2023-08-30 00:00:00+00:00,7.75,7.87,7.525,7.72,339119,7.75,7.87,7.525,7.72,339119,0.0,1.0
2023-08-31 00:00:00+00:00,7.7,7.855,7.68,7.75,284809,7.7,7.855,7.68,7.75,284809,0.0,1.0
2023-09-01 00:00:00+00:00,7.55,7.8832,7.54,7.76,479956,7.55,7.8832,7.54,7.76,479956,0.0,1.0
2023-09-05 00:00:00+00:00,7.085,7.31,6.96,7.27,1017276,7.085,7.31,6.96,7.27,1017276,0.0,1.0
2023-09-06 00:00:00+00:00,6.95,7.16,6.89,7.11,602337,6.95,7.16,6.89,7.11,602337,0.0,1.0
2023-09-07 00:00:00+00:00,7.12,7.17,6.88,6.96,454888,7.12,7.17,6.88,6.96,454888,0.0,1.0
2023-09-08 00:00:00+00:00,7.39,7.5,6.92,7.11,622488,7.39,7.5,6.92,7.11,622488,0.0,1.0
2023-09-11 00:00:00+00:00,8.0,8.18,7.62,7.71,771941,8.0,8.18,7.62,7.71,771941,0.0,1.0
2023-09-12 00:00:00+00:00,8.1,8.475,7.9803,8.0,835650,8.1,8.475,7.9803,8.0,835650,0.0,1.0
2023-09-13 00:00:00+00:00,8.09,8.26,7.98,8.11,645471,8.09,8.26,7.98,8.11,645471,0.0,1.0
2023-09-14 00:00:00+00:00,8.6,8.65,8.045,8.09,669541,8.6,8.65,8.045,8.09,669541,0.0,1.0
2023-09-15 00:00:00+00:00,8.29,8.75,8.245,8.47,4596498,8.29,8.75,8.245,8.47,4596498,0.0,1.0
2023-09-18 00:00:00+00:00,8.04,8.33,7.91,8.33,528345,8.04,8.33,7.91,8.33,528345,0.0,1.0
2023-09-19 00:00:00+00:00,8.23,8.27,7.985,8.0,412516,8.23,8.27,7.985,8.0,412516,0.0,1.0
2023-09-20 00:00:00+00:00,8.03,8.34,7.985,8.26,282946,8.03,8.34,7.985,8.26,282946,0.0,1.0
2023-09-21 00:00:00+00:00,8.37,8.52,7.98,7.99,461618,8.37,8.52,7.98,7.99,461618,0.0,1.0
2023-09-22 00:00:00+00:00,8.43,8.675,8.41,8.44,239623,8.43,8.675,8.41,8.44,239623,0.0,1.0
2023-09-25 00:00:00+00:00,8.41,8.5099,8.2587,8.43,246734,8.41,8.5099,8.2587,8.43,246734,0.0,1.0
2023-09-26 00:00:00+00:00,8.25,8.52,8.1107,8.33,424467,8.25,8.52,8.1107,8.33,424467,0.0,1.0
2023-09-27 00:00:00+00:00,8.23,8.34,8.04,8.2,236520,8.23,8.34,8.04,8.2,236520,0.0,1.0
2023-09-28 00:00:00+00:00,8.25,8.34,8.18,8.22,229810,8.25,8.34,8.18,8.22,229810,0.0,1.0
2023-09-29 00:00:00+00:00,8.0,8.4,7.97,8.25,315115,8.0,8.4,7.97,8.25,315115,0.0,1.0
2023-10-02 00:00:00+00:00,8.07,8.14,7.98,8.02,328859,8.07,8.14,7.98,8.02,328859,0.0,1.0
2023-10-03 00:00:00+00:00,8.02,8.14,7.97,8.03,262017,8.02,8.14,7.97,8.03,262017,0.0,1.0
2023-10-04 00:00:00+00:00,8.22,8.26,7.86,8.04,247301,8.22,8.26,7.86,8.04,247301,0.0,1.0
2023-10-05 00:00:00+00:00,8.22,8.35,8.12,8.2,231194,8.22,8.35,8.12,8.2,231194,0.0,1.0
2023-10-06 00:00:00+00:00,8.12,8.295,8.07,8.15,331001,8.12,8.295,8.07,8.15,331001,0.0,1.0
2023-10-09 00:00:00+00:00,8.235,8.255,8.0,8.08,164862,8.235,8.255,8.0,8.08,164862,0.0,1.0
2023-10-10 00:00:00+00:00,8.33,8.38,8.03,8.29,188053,8.33,8.38,8.03,8.29,188053,0.0,1.0
2023-10-11 00:00:00+00:00,8.05,8.43,8.01,8.38,178214,8.05,8.43,8.01,8.38,178214,0.0,1.0
2023-10-12 00:00:00+00:00,7.82,8.125,7.77,8.04,235034,7.82,8.125,7.77,8.04,235034,0.0,1.0
